peso,cat,requerimiento_energetico,ap
412.5,vaquillonas,7.0,1.4
425.0,vaquillonas,7.2,0.2
425.0,vaquillonas,7.2,0.4
425.0,vaquillonas,7.2,0.6
425.0,vaquillonas,7.2,0.8
425.0,vaquillonas,7.2,1.0
425.0,vaquillonas,7.2,1.2
425.0,vaquillonas,7.2,1.4
437.5,vaquillonas,7.4,0.2
437.5,vaquillonas,7.4,0.4
437.5,vaquillonas,7.4,0.6
437.5,vaquillonas,7.4,0.8
437.5,vaquillonas,7.4,1.0
437.5,vaquillonas,7.4,1.2
437.5,vaquillonas,7.4,1.4
450.0,vaquillonas,7.5,0.2
450.0,vaquillonas,7.5,0.4
450.0,vaquillonas,7.5,0.6
450.0,vaquillonas,7.5,0.8
450.0,vaquillonas,7.5,1.0
450.0,vaquillonas,7.5,1.2
450.0,vaquillonas,7.5,1.4
