peso_kg,categoria,ap_kg_dia,req_proteico
175.0,vaquillonas,1.2,694.0
175.0,vaquillonas,1.4,0.0
187.5,vaquillonas,0.2,361.3
187.5,vaquillonas,0.4,446.5
187.5,vaquillonas,0.6,510.8
187.5,vaquillonas,0.8,564.8
187.5,vaquillonas,1.0,577.8
187.5,vaquillonas,1.2,701.0
187.5,vaquillonas,1.4,0.0
200.0,vaquillonas,0.2,374.0
200.0,vaquillonas,0.4,459.0
200.0,vaquillonas,0.6,522.0
200.0,vaquillonas,0.8,574.0
200.0,vaquillonas,1.0,583.0
200.0,vaquillonas,1.2,708.0
200.0,vaquillonas,1.4,0.0
212.5,vaquillonas,0.2,385.8
212.5,vaquillonas,0.4,470.5
212.5,vaquillonas,0.6,532.3
212.5,vaquillonas,0.8,582.5
212.5,vaquillonas,1.0,588.0
212.5,vaquillonas,1.2,714.5
212.5,vaquillonas,1.4,0.0
225.0,vaquillonas,0.2,397.5
225.0,vaquillonas,0.4,482.0
225.0,vaquillonas,0.6,542.5
225.0,vaquillonas,0.8,591.0
225.0,vaquillonas,1.0,593.0
225.0,vaquillonas,1.2,721.0
225.0,vaquillonas,1.4,0.0
237.5,vaquillonas,0.2,409.3
237.5,vaquillonas,0.4,493.5
237.5,vaquillonas,0.6,552.8
237.5,vaquillonas,0.8,599.5
237.5,vaquillonas,1.0,598.0
237.5,vaquillonas,1.2,727.5
237.5,vaquillonas,1.4,0.0
250.0,vaquillonas,0.2,421.0
250.0,vaquillonas,0.4,505.0
250.0,vaquillonas,0.6,563.0
250.0,vaquillonas,0.8,608.0
250.0,vaquillonas,1.0,603.0
250.0,vaquillonas,1.2,734.0
250.0,vaquillonas,1.4,0.0
262.5,vaquillonas,0.2,432.0
262.5,vaquillonas,0.4,516.0
262.5,vaquillonas,0.6,572.8
262.5,vaquillonas,0.8,616.0
262.5,vaquillonas,1.0,607.5
262.5,vaquillonas,1.2,740.0
262.5,vaquillonas,1.4,0.0
275.0,vaquillonas,0.2,443.0
275.0,vaquillonas,0.4,527.0
275.0,vaquillonas,0.6,582.5
275.0,vaquillonas,0.8,624.0
275.0,vaquillonas,1.0,612.0
